req_type_nm,dev_comp_id,req_nation_cd,request_date,gcc_category,proc_status,product_code,bulk_code,mitem,item2,forml_code,product_name,bulk_name,customer_name,brand_name,last_labno,requester_id,requester_name,req_teamnm,developer_id,developer_name,dev_teamnm,reg_id,reg_nm,reg_deptid,reg_team,req_id,req_nm,req_team,req_num,del_yn,memo,exclude_reason,is_in_aggregate
,,,2026-01-05,립 메이크업,,,P3T1260000201,,,,Melted Lip Treat SPF15_2,Melted Lip Treat SPF15_2,"ABC Beauty Co.,Ltd",BELLA,,,,,,,,,,,,,Tong,,,,Lipstick,,True
,,,2026-01-05,립 메이크업,,,P3T1260000101,,,,Melted Lip Treat SPF15_1,Melted Lip Treat SPF15_1,"ABC Beauty Co.,Ltd",BELLA,,,,,,,,,,,,,Tong,,,,Lipstick,,True
,,,2026-01-05,립 메이크업,,,P3T1260000701,,,,Peptide Serum Lip Tint_5,Peptide Serum Lip Tint_5,"ABC Beauty Co.,Ltd",BELLA,,,,,,,,,,,,,Tong,,,,LipTint(Emulsion),,True
,,,2026-01-05,립 메이크업,,,P3T1260000601,,,,Peptide Serum Lip Tint_4,Peptide Serum Lip Tint_4,"ABC Beauty Co.,Ltd",BELLA,,,,,,,,,,,,,Tong,,,,LipTint(Emulsion),,True
,,,2026-01-05,립 메이크업,,,P3T1260000501,,,,Peptide Serum Lip Tint_3,Peptide Serum Lip Tint_3,"ABC Beauty Co.,Ltd",BELLA,,,,,,,,,,,,,Tong,,,,LipTint(Emulsion),,True
,,,2026-01-05,립 메이크업,,,P3T1260000401,,,,Peptide Serum Lip Tint_2,Peptide Serum Lip Tint_2,"ABC Beauty Co.,Ltd",BELLA,,,,,,,,,,,,,Tong,,,,LipTint(Emulsion),,True
,,,2026-01-05,립 메이크업,,,P3T1260000301,,,,Peptide Serum Lip Tint_1,Peptide Serum Lip Tint_1,"ABC Beauty Co.,Ltd",BELLA,,,,,,,,,,,,,Tong,,,,LipTint(Emulsion),,True
,,,2026-01-05,립 메이크업,,,P3T1260000901,,,,Mentholatum,Mentholatum,"ROHTO-MENTHOLATUM (THAILAND) CO., LTD.","ROHTO-MENTHOLATUM (THAILAND) CO., LTD.",,,,,,,,,,,,,Noah,,,,LipTint(Dispersion),,True
,,,2026-01-05,베이스 메이크업,,,P3T1260002101,,,,Capsule Hybrid Foundation_5,Capsule Hybrid Foundation_5,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260002001,,,,Capsule Hybrid Foundation_4,Capsule Hybrid Foundation_4,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260001901,,,,Capsule Hybrid Foundation_3,Capsule Hybrid Foundation_3,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260001801,,,,Capsule Hybrid Foundation_2,Capsule Hybrid Foundation_2,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260001701,,,,Capsule Hybrid Foundation_1,Capsule Hybrid Foundation_1,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260002601,,,,Two Layers Hybrid Foundation_5,Two Layers Hybrid Foundation_5,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260002501,,,,Two Layers Hybrid Foundation_4,Two Layers Hybrid Foundation_4,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260002401,,,,Two Layers Hybrid Foundation_3,Two Layers Hybrid Foundation_3,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260002301,,,,Two Layers Hybrid Foundation_2,Two Layers Hybrid Foundation_2,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,,P3T1260002201,,,,Two Layers Hybrid Foundation_1,Two Layers Hybrid Foundation_1,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,P9T12600035,P3T1260003501,,,,Foundation Stick_5,Foundation Stick_5,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,P9T12600034,P3T1260003401,,,,Foundation Stick_4,Foundation Stick_4,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
,,,2026-01-05,베이스 메이크업,,P9T12600033,P3T1260003301,,,,Foundation Stick_3,Foundation Stick_3,"K.M. Interlab Co.,Ltd.",Cute Press,,,,,,,,,,,,,May,,,,FoundationOthers,,True
